threshold	false_positive_rate	true_positive_rate
0.01	0.023333333333333334	0.9930313588850174
0.02	0.02	0.9930313588850174
0.03	0.02	0.9930313588850174
0.04	0.02	0.9930313588850174
0.05	0.02	0.9930313588850174
0.06	0.02	0.9930313588850174
0.07	0.02	0.9930313588850174
0.08	0.02	0.9930313588850174
0.09	0.02	0.9930313588850174
0.1	0.02	0.9930313588850174
0.11	0.018333333333333333	0.9930313588850174
0.12	0.018333333333333333	0.9912891986062717
0.13	0.018333333333333333	0.9912891986062717
0.14	0.018333333333333333	0.9912891986062717
0.15	0.018333333333333333	0.9912891986062717
0.16	0.018333333333333333	0.9912891986062717
0.17	0.018333333333333333	0.9912891986062717
0.18	0.018333333333333333	0.9912891986062717
0.19	0.018333333333333333	0.9912891986062717
0.2	0.018333333333333333	0.9912891986062717
0.21	0.018333333333333333	0.9912891986062717
0.22	0.018333333333333333	0.9912891986062717
0.23	0.018333333333333333	0.9912891986062717
0.24	0.018333333333333333	0.9912891986062717
0.25	0.018333333333333333	0.9912891986062717
0.26	0.018333333333333333	0.9912891986062717
0.27	0.018333333333333333	0.9912891986062717
0.28	0.018333333333333333	0.9912891986062717
0.29	0.018333333333333333	0.9912891986062717
0.3	0.018333333333333333	0.9912891986062717
0.31	0.018333333333333333	0.9912891986062717
0.32	0.018333333333333333	0.9912891986062717
0.33	0.018333333333333333	0.9912891986062717
0.34	0.018333333333333333	0.9912891986062717
0.35	0.016666666666666666	0.9912891986062717
0.36	0.016666666666666666	0.9912891986062717
0.37	0.016666666666666666	0.9912891986062717
0.38	0.016666666666666666	0.9912891986062717
0.39	0.015	0.9912891986062717
0.4	0.015	0.9912891986062717
0.41	0.015	0.9912891986062717
0.42	0.015	0.9912891986062717
0.43	0.015	0.9912891986062717
0.44	0.015	0.9912891986062717
0.45	0.015	0.9912891986062717
0.46	0.015	0.9912891986062717
0.47	0.015	0.9912891986062717
0.48	0.015	0.9912891986062717
0.49	0.015	0.9912891986062717
0.5	0.013333333333333334	0.9912891986062717
0.51	0.013333333333333334	0.9912891986062717
0.52	0.013333333333333334	0.9912891986062717
0.53	0.013333333333333334	0.9912891986062717
0.54	0.013333333333333334	0.9912891986062717
0.55	0.013333333333333334	0.9912891986062717
0.56	0.013333333333333334	0.9895470383275261
0.57	0.013333333333333334	0.9895470383275261
0.58	0.013333333333333334	0.9895470383275261
0.59	0.013333333333333334	0.9895470383275261
0.6	0.013333333333333334	0.9895470383275261
0.61	0.013333333333333334	0.9895470383275261
0.62	0.013333333333333334	0.9895470383275261
0.63	0.013333333333333334	0.9895470383275261
0.64	0.013333333333333334	0.9895470383275261
0.65	0.011666666666666667	0.9895470383275261
0.66	0.011666666666666667	0.9895470383275261
0.67	0.011666666666666667	0.9895470383275261
0.68	0.011666666666666667	0.9895470383275261
0.69	0.011666666666666667	0.9895470383275261
0.7	0.011666666666666667	0.9895470383275261
0.71	0.011666666666666667	0.9895470383275261
0.72	0.011666666666666667	0.9895470383275261
0.73	0.011666666666666667	0.9895470383275261
0.74	0.011666666666666667	0.9895470383275261
0.75	0.011666666666666667	0.9895470383275261
0.76	0.011666666666666667	0.9895470383275261
0.77	0.011666666666666667	0.9895470383275261
0.78	0.011666666666666667	0.9895470383275261
0.79	0.011666666666666667	0.9895470383275261
0.8	0.011666666666666667	0.9895470383275261
0.81	0.011666666666666667	0.9895470383275261
0.82	0.011666666666666667	0.9895470383275261
0.83	0.011666666666666667	0.9895470383275261
0.84	0.011666666666666667	0.9895470383275261
0.85	0.011666666666666667	0.9895470383275261
0.86	0.011666666666666667	0.9895470383275261
0.87	0.011666666666666667	0.9860627177700348
0.88	0.011666666666666667	0.9860627177700348
0.89	0.011666666666666667	0.9860627177700348
0.9	0.011666666666666667	0.9843205574912892
0.91	0.011666666666666667	0.9843205574912892
0.92	0.011666666666666667	0.9843205574912892
0.93	0.011666666666666667	0.9843205574912892
0.94	0.011666666666666667	0.9843205574912892
0.95	0.01	0.9843205574912892
0.96	0.01	0.9843205574912892
0.97	0.01	0.9843205574912892
0.98	0.01	0.9825783972125436
0.99	0.01	0.9790940766550522
